Year,Month,Anomaly
2014,March,0.79
2014,April,0.8
2014,May,0.87
2014,June,0.68
2014,July,0.58
2014,August,0.82
2014,September,0.88
2014,October,0.81
2014,November,0.66
2014,December,0.79
2015,January,0.85
2015,February,0.9
2015,March,0.96
2015,April,0.75
2015,May,0.8
2015,June,0.81
2015,July,0.74
2015,August,0.81
2015,September,0.86
2015,October,1.09
2015,November,1.06
2015,December,1.15
2016,January,1.17
2016,February,1.37
2016,March,1.35
2016,April,1.12
2016,May,0.96
2016,June,0.81
2016,July,0.85
2016,August,1.02
2016,September,0.91
2016,October,0.88
2016,November,0.91
2016,December,0.86
2017,January,1.03
2017,February,1.15
2017,March,1.17
2017,April,0.95
2017,May,0.91
2017,June,0.73
2017,July,0.82
2017,August,0.87
2017,September,0.78
2017,October,0.91
2017,November,0.88
2017,December,0.94
2018,January,0.82
2018,February,0.86
2018,March,0.9
2018,April,0.89
2018,May,0.83
2018,June,0.78
2018,July,0.83
2018,August,0.77
2018,September,0.81
2018,October,1.02
2018,November,0.83
2018,December,0.92
2019,January,0.93
2019,February,0.96
2019,March,1.18
2019,April,1.02
2019,May,0.86
2019,June,0.93
2019,July,0.95
2019,August,0.95
2019,September,0.93
2019,October,1.02
2019,November,1
2019,December,1.1
